product_id,product_name,product_category,standard_unit_price
P00001,Wireless Bluetooth Headphones,Technology,99.43
P00002,Mechanical Gaming Keyboard,Technology,97.93
P00003,Binder Clips Assorted 48pc,Office Supplies,10.74
P00004,Webcam HD 1080p,Technology,61.86
P00005,Standing Desk Converter,Furniture,330.67
P00006,Bookshelf 5-Tier,Furniture,61.93
P00007,Premium Notebook Set A5,Office Supplies,15.03
P00008,Laptop Stand Adjustable,Technology,33.91
P00009,Folding Table Portable,Furniture,58.77
P00010,Leather Wallet Minimalist,Clothing & Accessories,38.91
P00011,Paper Clips Box 500pc,Office Supplies,7.8
P00012,Travel Backpack 30L,Clothing & Accessories,59.48
P00013,Tape Dispenser Heavy Duty,Office Supplies,15.82
P00014,Business Casual Blazer,Clothing & Accessories,51.92
P00015,Corner L-Shaped Desk,Furniture,358.6
P00016,Ergonomic Office Chair,Furniture,446.8
P00017,Wool Blend Scarf,Clothing & Accessories,27.9
P00018,Whiteboard Markers Set 8,Office Supplies,9.91
P00019,Smart LED Desk Lamp,Technology,32.91
P00020,Sticky Notes Multicolor 6-Pack,Office Supplies,11.41
P00021,Desk Calendar 2025,Office Supplies,10.6
P00022,Floating Wall Shelves Set,Furniture,67.38
P00023,Portable External SSD 1TB,Technology,121.25
P00024,Stapler Full-Size,Office Supplies,8.54
P00025,Canvas Messenger Bag,Clothing & Accessories,57.87
P00026,Ballpoint Pen Pack 12,Office Supplies,9.02
P00027,Silk Tie Collection,Clothing & Accessories,18.32
P00028,Cotton Formal Shirt,Clothing & Accessories,53.6
P00029,USB-C Hub Multiport Adapter,Technology,28.99
P00030,Tablet Stand Holder,Technology,19.94
P00031,Sports Water Bottle 750ml,Clothing & Accessories,8.96
P00032,Noise Cancelling Earbuds,Technology,173.37
P00033,Monitor Riser Wood,Furniture,47.62
P00034,Leather Belt Classic,Clothing & Accessories,35.6
P00035,Desk Organizer Set,Furniture,54.39
P00036,Wireless Ergonomic Mouse,Technology,36.01
P00037,Mesh Back Task Chair,Furniture,113.52
P00038,Polarized Sunglasses,Clothing & Accessories,29.57
P00039,Highlighters Neon Pack 6,Office Supplies,11.39
P00040,Filing Cabinet 3-Drawer,Furniture,210.65
